ReferenceID,TypeofChange,Location,OldText,NewTextEN,NewTextFR,NewTextES,Language,Change to Structure,Text Change,Owner,LocationofJSON,Priority,Complete
C0102,Move Text,Ph. A Step 7 -- Learn More tab -- Different approaches and ways to collect data from communities,"Different approaches and ways to collect data from communities

Community-based monitoring
This is a process where concerned stakeholders (local community, government and company representatives, NGOs or civil society groups) collaborate to identify and respond to common important issues. It brings together people from different sectors and with different perspectives. It can help by developing an interesting collaboration and bringing forth unforeseen solutions. It allows communities to increase their knowledge and participate meaningfully. It also helps local decision makers and relevant stakeholders make informed decisions.

Source: Environment Canada’s Ecological Monitoring and Assessment Network Coordinating Office and the Canadian Nature Federation, Improving Local Decision-making through Community-based Monitoring: Towards a Canadian Community Monitoring Network (2003) www.ccmn.ca.

Participatory rapid appraisal
This method uses group animation and exercises to facilitate information sharing, analysis, and action among stakeholders. The main principles of this approach are: participation, teamwork, learning from and with people, triangulation (gathering at least three sources for the same piece of information), flexibility and optimal ignorance (gathering just enough information to make appropriate decisions). A document worth browsing for participatory approaches is: Participatory Research and Development for Sustainable Agriculture and Natural Resources Management: A Sourcebook, at www.idrc.ca. This book is published by the International Development Research Centre in Canada, which also has a page on its website explaining participatory research. This page can be accessed at www.idrc.ca

Source: Participatory Rapid Appraisal. For more information about participatory rural appraisal, see www.serd.ait.ac.th

...","Move the following to step 26 under follow up activities: Community-based monitoring
This is a process where concerned stakeholders (local community, government and company representatives, NGOs or civil society groups) collaborate to identify and respond to common important issues. It brings together people from different sectors and with different perspectives. It can help by developing an interesting collaboration and bringing forth unforeseen solutions. It allows communities to increase their knowledge and participate meaningfully. It also helps local decision makers and relevant stakeholders make informed decisions.

Source: Environment Canada’s Ecological Monitoring and Assessment Network Coordinating Office and the Canadian Nature Federation, Improving Local Decision-making through Community-based Monitoring: Towards a Canadian Community Monitoring Network (2003) www.ccmn.ca.","Move the following to step 26 under Follow-up activities:

La surveillance communautaire
Il s’agit d’un processus par lequel les acteurs intéressés (communautés locales, représentants du gouvernement et de l’entreprise, ONG et groupes de la société civile) collaborent à la surveillance de préoccupations communautaires communes, au suivi de ces questions ainsi qu’à la prise de mesures d’intervention. Cette façon de faire permet de rassembler des gens de différents secteurs ayant des points de vue diversifiés, et d’établir une collaboration fructueuse qui peut donner lieu à des solutions inattendues. Cela permet aussi aux communautés d’acquérir des connaissances et de participer de façon significative au processus. Enfin, cette démarche fournit aux décideurs locaux et aux acteurs concernés des outils leur permettant de faire des choix éclairés.

Source : Environnement Canada et Fédération canadienne de la nature, Améliorer la prise de décisions locale au moyen de la surveillance communautaire : vers l’établissement d’un réseau canadien de surveillance communautaire (2003).","Move the following to step 26 under Actividades de seguimiento:
Seguimiento comunitario
Este es un proceso por el cual las partes interesadas (comunidades locales, Gobierno y representantes de la compañía, organizaciones no gubernamentales o grupos de la sociedad civil) colaboran para identificar los temas comunes más importantes y responder a ellos. Se reúne así gente de diferentes sectores y con perspectivas diferentes, lo que puede desarrollar una colaboración interesante y brindar soluciones imprevistas. Este método permite a las comunidades aumentar sus conocimientos y participar de manera significativa. También ayuda a quienes deciden y a las partes interesadas pertinentes a tomar decisiones informadas.

Fuente: Environment Canada and the Canadian Nature Federation, Improving Local Decision-making through Community-based Monitoring: Toward a Canadian Community Monitoring Network (2003)  (en inglés)",,,TRUE,,,,
C0103,Edit Text,Ph. A Step 7 -- Learn More tab -- Different approaches and ways to collect data from communities,see above.,"Erase the following: Participatory rapid appraisal
This method uses group animation and exercises to facilitate information sharing, analysis, and action among stakeholders. The main principles of this approach are: participation, teamwork, learning from and with people, triangulation (gathering at least three sources for the same piece of information), flexibility and optimal ignorance (gathering just enough information to make appropriate decisions). A document worth browsing for participatory approaches is: Participatory Research and Development for Sustainable Agriculture and Natural Resources Management: A Sourcebook, at www.idrc.ca. This book is published by the International Development Research Centre in Canada, which also has a page on its website explaining participatory research. This page can be accessed at www.idrc.ca

Source: Participatory Rapid Appraisal. For more information about participatory rural appraisal, see www.serd.ait.ac.th","Erase the following:
L’évaluation participative rapide
Cette méthode fait appel à des discussions de groupe et à des exercices qui permettent aux acteurs de partager de l’information, de procéder à des analyses et de prendre des mesures appropriées. Les principes de base de cette approche sont les suivants : la participation, le travail d’équipe, l’apprentissage au contact des autres, la triangulation (obtenir au moins trois sources pour une même information), la flexibilité et l’ignorance optimale (rassembler juste assez d’information pour prendre des décisions appropriées). Il existe un document utile à consulter portant sur les approches participatives : Participatory Research and Development for Sustainable Agriculture and Natural Resources Management: A Sourcebook, à www.idrc.ca. Cet ouvrage a été publié par le Centre de recherches pour le développement international du Canada, qui possède aussi sur son site Web une page portant sur la recherche participative, à l’adresse suivante : www.idrc.ca

Source : Participatory Rapid Appraisal. Vous trouverez plus d’information à propos de l’évaluation rurale participative dans le présent module : www.serd.ait.ac.th","Erase the following:
Seguimiento comunitario
Este es un proceso por el cual las partes interesadas (comunidades locales, Gobierno y representantes de la compañía, organizaciones no gubernamentales o grupos de la sociedad civil) colaboran para identificar los temas comunes más importantes y responder a ellos. Se reúne así gente de diferentes sectores y con perspectivas diferentes, lo que puede desarrollar una colaboración interesante y brindar soluciones imprevistas. Este método permite a las comunidades aumentar sus conocimientos y participar de manera significativa. También ayuda a quienes deciden y a las partes interesadas pertinentes a tomar decisiones informadas.

Fuente: Environment Canada and the Canadian Nature Federation, Improving Local Decision-making through Community-based Monitoring: Toward a Canadian Community Monitoring Network (2003)  (en inglés)

Evaluación rápida participativa
Este método utiliza la animación y ejercicios de grupo para facilitar el intercambio de información, el análisis y la acción entre las partes interesadas. Los principios fundamentales de este método son la participación, el trabajo en equipo, el aprender de la gente y con la gente, la triangulación (reunir la misma información de tres fuentes diferentes), la flexibilidad y la ignorancia óptima (reunir solamente la información suficiente para tomar decisiones adecuadas).Existe un documento útil de consulta sobre los métodos de participación: Participatory Research and Development for Sustainable Agriculture and Natural Resources Management: A Sourcebook, editado por el International Development Research Centre in Canada, que también tiene una página en su sitio Web donde se explica la investigación participativa, a la que se puede acceder en : www.idrc.ca/es.

Fuente: Participatory Rapid Appraisal: En esta página podrán obtener más información sobre la Evaluación rápida participativa.  (en inglés)",,,TRUE,,,,
C0104,New Info Box,"Ph. A Step 6 -- New gender info box called ""Use gender analysis framework to set objectives""",,"Add new gender info box with name: ""Use gender analysis framework to set objectives"", and the following text for the body:
o	When setting objectives, it is important to keep in mind a gender-based approach. Objectives for the assessment should be relevant to different vulnerable groups and communities. The objectives you set should also account for the perspectives and needs of women and gender diverse peoples in the communities you encounter. It can be helpful to make your objectives user-friendly and flexible. This enables the community to adapt the objectives to their specific context. Additionally, all objectives should be measurable, utilize gender-sensitive indicators, and produce sex-disaggregated data. This will enable a gender-based analysis at the end of the assessment.
o	Important questions to respond: 
▪	Do these objectives increase women’s power? How? What about marginalized women?
▪	Are these objectives “about” women but not “for” them? An objective that is “about” women may tell women’s stories to achieve other ends, such as generating awareness or aligning with a donor agenda. An objective that is “for” women leads to long term change and shifts gendered power relations.
▪	Will realization of these objectives benefit women, men and gender non-conforming people appropriately, and specifically promote women’s rights and empowerment in the long term?","ADD NEW GENDER INFO BOX: Utiliser un cadre d’analyse basée sur le genre pour déterminer les objectifs 
o	Lors de la définition des objectifs, il est important de garder à l'esprit une approche basée sur le genre. Les objectifs de l'évaluation doivent être pertinents pour les différents groupes et communautés vulnérables. Les objectifs que vous fixez doivent également tenir compte des perspectives et des besoins des femmes et des personnes non-conformes au genre dans les communautés que vous rencontrez. Il peut être utile de rendre vos objectifs conviviaux et flexibles. Cela permet à la communauté d'adapter les objectifs à son contexte spécifique. En outre, tous les objectifs doivent être mesurables, utiliser des indicateurs sensibles au genre et produire des données ventilées selon le genre. Cela permettra de réaliser une analyse comparative entre les genres à la fin de l'évaluation.
o	Questions importantes auxquelles il faut répondre : 
•	Ces objectifs augmentent-ils le pouvoir des femmes ? Comment ? Qu'en est-il des femmes marginalisées ?
•	Ces objectifs sont-ils "" à propos "" des femmes mais pas "" pour "" elles ? Un objectif qui est "" à propos "" des femmes peut raconter des histoires de femmes pour atteindre d'autres fins, comme générer une prise de conscience ou s'aligner sur le programme d'un donateur. Un objectif qui est ""pour"" les femmes conduit à un changement à long terme et modifie les relations de pouvoir entre les genres.
•	La réalisation de ces objectifs profitera-t-elle de manière appropriée aux femmes, aux hommes et aux personnes non conformes au genre, et favorisera-t-elle spécifiquement les droits et l'autonomisation des femmes sur le long terme ?","ADD NEW GENDER INFO BOX - Usar el marco del análisis de género para fijar objetivos
o	Al fijar objetivos, es importante que se tenga presente un enfoque de género. Los objetivos de la evaluación deben ser relevantes para distintos grupos y comunidades vulnerables. Los objetivos que ustedes fijen también deben tomar en cuenta las perspectivas y necesidades de las mujeres y las personas de género diverso en las comunidades que ustedes encuentren. Para ello puede ser útil trazar objetivos que sean de fácil uso y flexibles. Esto le permite a la comunidad adaptar los objetivos a su contexto específico. Además, todos los objetivos deben ser medibles, usar indicadores sensibles al género o generar datos desglosados por género. Esto permitirá un análisis de género al final de la evaluación.
o	Preguntas importantes que responder: 
▪	¿Estos objetivos aumentan el poder de las mujeres? ¿Cómo? ¿Y qué hay de las mujeres marginadas?
▪	¿Estos objetivos “tratan de” las mujeres pero no son “para” ellas? Un objetivo que “trata de” las mujeres tal vez narre historias de mujeres para lograr otros fines, como concientizar o alinearse con los fines de un donante. Un objetivo que es “para” las mujeres lleva al cambio de largo plazo y desplaza las relaciones de poder de género.
▪	¿La concreción de estos objetivos beneficiará a las mujeres, a los hombres y a las personas de género diverso apropiadamente y promoverá específicamente los derechos y el empoderamiento de las mujeres a largo plazo?",EN,TRUE,,,,,
C0105,Edit Text,Ph. A Step 7 -- Learn More tab -- Different approaches and ways to collect data from communities,see above.,"Add the following before the paragraph that begins ""Semi-structured interviews are conducted with ..."": 
More information about tools and participatory techniques specifically designed for communities can be found in chapter 8 of FAO publication: www.fao.org/docrep/x5307e/x5307e07.htm#chapter%20eight:%20the%20tools%20and%20how%20to%20use%20them","Add the following before the paragaph that begins with :Cette technique permet à l'équipe...""
""Les entretiens semi-structurés sont menés avec un cadre assez ouvert qui permet une communication ciblée, conversationnelle et bidirectionnelle. Ils peuvent être utilisés à la fois pour donner et recevoir des informations.
Contrairement au cadre du questionnaire, où des questions détaillées sont formulées à l'avance, l'entretien semi-structuré commence par des questions ou des sujets plus généraux. 
Toutes les questions ne sont pas conçues et formulées à l'avance. La majorité des questions sont créées au cours de l'entretien, ce qui donne à l'enquêteur et à la personne interrogée la possibilité d'approfondir les détails ou de discuter des problèmes.""

(Source : FAO, La boîte à outils de la communauté : L'idée, les méthodes et les outils pour l'appréciation, le suivi et l'évaluation participatifs dans la foresterie communautaire, www.fao.org/docrep/x5307e/x5307e08.htm#tool%209:%20semi%20structured%20interviews)

Vous trouverez plus d'informations sur les outils et les techniques participatives spécialement conçus pour les communautés au chapitre 8 de la publication de la FAO : www.fao.org/docrep/x5307e/x5307e07.htm#chapter%20eight:%20the%20tools%20and%20how%20to%20use%20them","Entrevistas semi estructuradas
Add the following before the paragaph that begins with :ESta technica permite al équipo...""
“Se realizan entrevistas semiestructuradas con un marco bastante abierto que permiten una comunicación concentrada, conversativa y bidireccional. Pueden servir tanto para dar como para recibir información.
A diferencia del marco de los cuestionarios, donde se formulan con antelación preguntas detalladas, las entrevistas semidetalladas empiezan con temas o preguntas más generales.
No todas las preguntas se diseñan y redactan con antelación. La mayoría de las preguntas se va creando durante la entrevista, lo que tanto al entrevistador como al entrevistado les brinda la flexibilidad de sondear detalles o dialogar sobre asuntos”.
(Fuente: FAO, The community's toolbox: The idea, methods and tools for participatory assessment, monitoring and evaluation in community forestry, www.fao.org/docrep/x5307e/x5307e08.htm#tool%209:%20semi%20structured%20interviews

Para mayores informes sobre herramientas y técnicas participativas diseñadas específicamente para las comunidades, se puede consultar el capítulo 8 de la siguiente publicación de la FAO: www.fao.org/docrep/x5307e/x5307e07.htm#chapter%20eight:%20the%20tools%20and%20how%20to%20use%20themm",,,TRUE,,,,
C0107,Merge Step,Ph. A Step 7-8,Current step 7 and 8,Merged into new step 8: Workplan and Budget,,,EN,TRUE,,,,,
C0108,Edit Text,Ph. A Step 7 -- Worth Browsing -- Think about how you will gather information,"Think about how you will gather information
Documenting Women’s Rights Violations by Non-state Actors, Rights & Democracy (2006). 
Events Standard Formats: A tool for documenting human rights violations, Human Rights Information and Documentation System, International (HURIDOCS) (2001). www.huridocs.org 
Handbook on Fact-Finding and Documentation of Human Rights Violations, Asian Forum for Human Rights and Development (Forum-Asia) (1994). 
Monitoring and Documenting Human Rights Violations in Africa: A handbook, Amnesty International and CODESRIA (2000). www.codesria.org
Reporting killings as human rights violation: How to document and respond to potential violations of the right to life within the international system for the protection of human rights, Human Rights Centre, University of Essex (2002). Part 3 provides precise information on how to document allegations of unlawful killings.",Change this address (www.codesria.org) for: www.codesria.org/spip.php?article586&lang=fr,,,,,TRUE,,,,
C0109,New Popup,"Ph. A Step 7 -- New ""Experiences"" pop up",,"Add the following text: “For community perspectives, we conducted interviews with leaders of the Diaguitas Huasco Altinos Agricultural Community (CADHA), as well as with their offspring. Some interviews were also done with inhabitants of the district who do not belong to the community. Most interviews were conducted in the homes of the respondents. The interviews were semi-structured and were generally individual, although some were conducted with two people simultaneously, usually when respondents were married and requested being interviewed together. The community decided that the names of members interviewed should be kept confidential. The semi-structured questions included in the Getting it Right guide were adapted to each situation and made more flexible for the target group(s). ” (Chile)","Add the following text:

""Pour les perspectives communautaires, nous avons mené des entretiens avec les dirigeants de la Communauté agricole Diaguitas Huasco Altinos (CADHA), ainsi qu'avec leurs descendants. Certains entretiens ont également été réalisés avec des habitants du district qui n'appartiennent pas à la communauté. La plupart des entretiens ont été réalisés au domicile des personnes interrogées. Les entretiens étaient semi-structurés et étaient généralement individuels, bien que certains aient été menés avec deux personnes simultanément, généralement lorsque les répondants étaient mariés et demandaient à être interrogés ensemble. La communauté a décidé que les noms des membres interrogés devaient rester confidentiels. Les questions semi-structurées incluses dans le guide Droits Devant ont été adaptées à chaque situation et rendues plus flexibles pour le(s) groupe(s) cible(s). ""(Chili)","Add:“Para las perspectivas comunitarias, realizamos entrevistas con dirigentes de la Comunidad Agrícola Diaguita Los Huascoaltinos (CADHA), así como con sus descendientes. Algunas entrevistas se hicieron, además, con habitantes de la zona que no pertenecían a la comunidad. La mayoría de las entrevistas se hicieron en las viviendas de los participantes. Las entrevistas fueron semiestructuradas y, por lo general, individuales, aunque algunas se realizaron con dos personas al mismo tiempo, generalmente cuando los participantes eran un matrimonio y solicitaron que se les entrevistara juntos. La comunidad decidió que se mantuvieran en confidencialidad los nombres de los miembros entrevistados. Las preguntas semiestructuradas incluidas en la guía Getting it Right se adaptaron a cada situación y se flexibilizaron para el/los grupo(s) diana”. (Chile)",,TRUE,,,,,
C0111,New Popup,"Ph. A Step 7 -- New ""Tips"" pop up",,"Add the following text: Think about the security of your team and communities
Think about security risks when developing your workplan and selecting how you will collect the information. You should always consider risks encountered by your team and community members when starting the investigation. You should integrate a security plan within your engagement strategy.","Add the following text:
Pensez à la sécurité de votre équipe et des communautés
Pensez aux risques de sécurité lorsque vous élaborez votre plan de travail et que vous choisissez la manière dont vous allez collecter les informations. Vous devez toujours tenir compte des risques encourus par votre équipe et les membres de la communauté lorsque vous commencez l'enquête. Vous devez intégrer un plan de sécurité dans votre stratégie d'engagement.","Add: Piense en la seguridad de su equipo y de sus comunidades.
Piense en los riesgos de seguridad al elaborar su plan de trabajo y seleccionar cómo se reunirá la información. Considere siempre los riesgos de seguridad con los que se encuentren su equipo y los miembros de su comunidad al comenzar la investigación. Integre a su estrategia de contacto un plan de seguridad.",,TRUE,,,,,
C0112,New Popup,"Ph. A Step 8 -- New gender pop up called ""Gender checklist""",,"Add gender pop up called ""Gender Checklist"", with the following text for the body:                                                                
Here are some important elements to consider when developing your COBHRA process: 
o	Balanced gender composition of assessment team 
o	Assessment team includes at least one gender expert, and external gender expertise consulted if/when necessary 
o	Sufficient % consultations with women or gender diverse peoples for each stakeholder group
o	At each stage (initial consultations, focus group, interviews, feedback sessions), the assessment team met with women and gender diverse peoples separately than men 
▪	Note: this includes female facilitators and translators 
o	Language and information materials accessible to women and gender diverse peoples 
o	Sufficient information on impact on women/girls/gender diverse peoples for each right? 
o	Identify practical and cultural barriers to women’s and gender diverse peoples’ participation and ways to overcome these (for example, the company could consider providing childcare services or making sure the space provided for meetings is child friendly)
o	Identify any safety risks related to women’s or gender diverse peoples’ participation and implement ways to mitigate these risks 
o	Are women more, less or equally supportive of the investment project than men? 
•	You should revisit this checklist in different moments of your process to evaluate which of these practices are not sufficiently integrated and develop a strategy on how to better incorporate those elements going forward.","Liste de contrôle du genre
Voici quelques éléments importants à prendre en compte lors de l'élaboration de votre processus COBHRA : 
-	Composition de l'équipe d'évaluation équilibrée entre les genres 
-	L'équipe d'évaluation comprend au moins un expert en matière de genre, et des experts externes en matière de genre sont consultés si/quand cela est nécessaire. 
-	Un pourcentage suffisant de consultations avec des femmes ou des personnes de genres variés pour chaque groupe de parties prenantes.
-	A chaque étape (consultations initiales, groupe de discussion, entretiens, sessions de feedback), l'équipe d'évaluation a rencontré les femmes et les personnes non-conformes au genre séparément des hommes. Note : cela inclut les animatrices et les traductrices. 
-	Langue et matériel d'information accessibles aux femmes et aux personnes non-conformes au genre. 
-	Informations suffisantes sur l'impact sur les femmes/filles/personnes non-conformes au genre pour chaque droit ? 
-	Identifier les obstacles pratiques et culturels à la participation des femmes et des personnes non-conformes au genre et les moyens de les surmonter (par exemple, l'entreprise pourrait envisager de fournir des services de garde d'enfants ou de s'assurer que l'espace prévu pour les réunions est adapté aux enfants).
-	Identifier les risques de sécurité liés à la participation des femmes ou des personnes non-conformes au genre et mettre en œuvre des moyens pour atténuer ces risques. 
-	Les femmes soutiennent-elles plus, moins ou autant que les hommes le projet d'investissement ? 
 Vous devriez revoir cette liste de contrôle à différents moments de votre processus pour évaluer quelles sont les pratiques qui ne sont pas suffisamment intégrées et développer une stratégie sur la façon de mieux intégrer ces éléments à l'avenir.","Lista de cotejo de cuestiones de género
A continuación enunciamos algunos elementos importantes que deben considerar al desarrollar el proceso de su COBHRA: 
o	Composición de género equilibrada en el equipo de evaluación 
o	Que en el equipo de evaluación haya al menos una persona experta en género y que se consulte a gente externa entendida en cuestiones de género cuando haga falta 
o	% suficiente de consultas con mujeres o personas de género diverso por cada grupo de interesados
o	En cada etapa (consultas iniciales, grupo de sondeo, entrevistas, sesiones de comentarios), el equipo de evaluación se sesionó con mujeres y personas de género diverso por separado de los hombres 
▪	Nota: esto abarca facilitadoras e intérpretes mujeres 
o	Lenguaje y materiales de información al alcance de las mujeres y las personas de género diverso 
o	¿Información suficiente sobre el impacto en las mujeres / muchachas / personas de género diverso por cada derecho? 
o	Identificar barreras prácticas y culturales a la participación de las mujeres y personas de género diverso y modos de superar dichas barreras (por ejemplo, la empresa podría considerar proporcionar servicios de guardería o asegurarse de que el espacio proporcionado para las reuniones sea acogedor para menores de edad)
o	Identificar cualquier riesgo de seguridad relacionado con la participación de las mujeres o personas de género diverso e implementar maneras de mitigar estos riesgos
o	¿Las mujeres apoyan el proyecto de inversión tanto, más o menos que los hombres? 
•	A esta lista de cotejo hay que volver en diferentes momentos del proceso para evaluar cuál de estas prácticas no se ha integrado suficientemente y elaborar una estrategia para incorporar mejor esos elementos en lo sucesivo.",EN,TRUE,,,,,
C0113,New Info Box,"Ph. A. Step 7 -- New gender box called ""Sex disaggregated data""",,"Add new gender box called ""Sex disaggregated data:"", with the following text for the body:                                                                                                                                                                                     •	The impacts of investment projects are not gender neutral. There can be gender-based discrimination both directly in hiring and employment processes and indirectly by sustaining or exacerbating gender inequality. The potential adverse impacts of investment projects on women and gender diverse peoples violate the principles of equality of rights and nondiscrimination to which they are entitled. 
o	For example, companies often fail to adequately consult with women and gender diverse peoples when negotiating access to land, compensation or benefit-sharing agreements, despite their rights to non-discrimination, information, consultation and participation, especially indigenous women’s right to free, prior, and informed consent. This can disempower and disadvantage women and gender diverse peoples as well as overlook their needs and lead to decisions affecting women on an unequal basis with men. 
(Source: Adapted from Oxfam Australia and Australian Aid entitled A Guide to Gender Impact Assessment for the Extractive Industries)","Données ventilées selon le genre :
•	 Les impacts des projets d'investissement ne sont pas neutres en termes de genre. Il peut y avoir une discrimination fondée sur le genre, tant directement dans les processus d'embauche et d'emploi qu'indirectement en maintenant ou en exacerbant l'inégalité de genres. Les impacts négatifs potentiels des projets d'investissement sur les femmes et des personnes non-conformes au genre violent les principes d'égalité des droits et de non-discrimination auxquels ils ont droit. 
o	Par exemple, les entreprises omettent souvent de consulter adéquatement les femmes et les divers groupes de population lors de la négociation de l'accès à la terre, des compensations ou des accords de partage des avantages, malgré leurs droits à la non-discrimination, à l'information, à la consultation et à la participation, en particulier le droit des femmes autochtones au consentement libre, préalable et éclairé. Cela peut priver les femmes et les personnes non-conformes au genre de tout pouvoir et de tout avantage, négliger leurs besoins et conduire à des décisions qui les affectent de manière inégale par rapport aux hommes. (Source: Adapted from Oxfam Australia and Australian Aid entitled A Guide to Gender Impact Assessment for the Extractive Industries)","Datos desglosados por género: 
•	Los impactos de los proyectos de inversión no son neutrales ante el género. Puede haber discriminación de género tanto de manera directa en los procesos de contratación y empleo como de manera indirecta al sostener o exacerbar la desigualdad de género. Los impactos adversos potenciales de los proyectos de inversión en las mujeres y las personas de género diverso violan los principios de la igualdad de derechos y de la no discriminación a los que tienen derecho dichas personas.
o	Por ejemplo, las empresas suelen no consultar con las mujeres y las personas de género diverso al negociar el acceso a la tierra, la remuneración o los acuerdos de reparto de beneficios, a pesar de sus derechos a la no discriminación, a la información, a la consulta y a la participación, sobre todo el derecho de la mujer indígena al consentimiento libre, previo e informado. Esto puede desempoderar y poner en desventaja a la mujer y a las personas de género diverso, además de pasar por alto sus necesidades y llevar a decisiones que afecten a la mujer en pie de desigualdad con el hombre. 
Fuente: Adaptado de Oxfam Australia y Australian Aid, A Guide to Gender Impact Assessment for the Extractive Industries",EN,TRUE,,,,,
